"player_name","player_id","year","xwoba","xba","xslg","xiso","xobp","brl","brl_percent","exit_velocity","max_ev","hard_hit_percent","k_percent","bb_percent","whiff_percent","chase_percent","arm_strength","xera","fb_velocity","fb_spin","curve_spin"
"Valdez, Framber","664285","2024",73,55,80,88,64,33,86,16,13,6,58,52,64,50,,73,51,27,92
"Baker, Bryan","641329","2024",,,,,,,,,27,,,,,,,,84,56,
"Warren, Will","701542","2024",,,,,,,,,81,,,,,,,,40,92,
"Ferrer, Jose A.","678606","2024",,,,,,,,,60,,,,,,,,97,19,
"Sborz, Josh","622250","2024",,,,,,,,,39,,,,,,,,67,84,14
"Devenski, Chris","606965","2024",,,,,,,,,54,,,,,,,,33,80,
"Jansen, Kenley","445276","2024",79,86,69,50,79,54,4,11,14,65,84,32,62,11,,79,35,55,
"Veneziano, Anthony","685107","2024",,,,,,,,,35,,,,,,,,62,53,
"Strider, Spencer","675911","2024",,,,,,,,,77,,,,,,,,84,53,
"Lowder, Rhett","695076","2024",,,,,,,,,38,,,,,,,,33,57,
"Lynch IV, Daniel","663738","2024",,,,,,,,,45,,,,,,,,31,33,
"Floro, Dylan","571670","2024",52,18,52,74,51,88,94,16,18,47,9,80,4,4,,52,5,16,
"Roycroft, Chris","688297","2024",,,,,,,,,65,,,,,,,,76,32,
"Andriese, Matt","542882","2024",,,,,,,,,14,,,,,,,,10,71,
"Quantrill, Cal","615698","2024",5,9,16,31,2,19,59,41,23,28,8,19,17,7,,5,45,32,36
"Weathers, Ryan","677960","2024",39,43,38,35,50,38,37,30,45,53,40,73,54,27,,39,76,63,
"Gray, Jon","592351","2024",23,8,15,29,36,29,30,9,30,20,23,75,37,60,,23,63,7,29
"Montas, Frankie","593423","2024",19,37,21,16,24,8,21,35,27,13,47,22,45,38,,19,70,73,
"Berroa, Prelander","672860","2024",,,,,,,,,85,,,,,,,,95,78,
"Schwellenbach, Spencer","680885","2024",74,47,63,68,82,47,90,79,3,39,70,95,65,96,,74,79,40,31
"López, Jorge","605347","2024",66,76,60,43,74,72,39,53,67,40,51,45,29,10,,66,73,5,41
"Chafin, Andrew","605177","2024",66,72,76,78,32,88,76,58,73,84,85,4,96,97,,66,16,26,
"Gallegos, Giovanny","606149","2024",,,,,,,,,84,,,,,,,,21,67,
"Davis, Noah","663562","2024",,,,,,,,,26,,,,,,,,45,54,
"Frías, Luis","666818","2024",,,,,,,,,66,,,,,,,,79,41,
"Horn, Bailey","690544","2024",,,,,,,,,59,,,,,,,,65,86,
"Marsh, Alec","679525","2024",12,15,10,11,23,16,16,25,22,32,45,64,34,35,,12,50,93,47
"Eovaldi, Nathan","543135","2024",55,37,50,58,65,15,49,35,17,17,57,81,61,87,,55,71,35,1
"Maton, Phil","664208","2024",36,51,55,52,22,72,65,92,45,88,47,33,59,64,,36,1,54,99
"Cousins, Jake","664776","2024",,,,,,,,,69,,,,,,,,67,77,
"Martinez, Seth","661527","2024",43,39,52,58,34,77,70,62,71,36,5,48,28,19,,43,7,12,
"Daniel, Davis","669721","2024",,,,,,,,,31,,,,,,,,15,21,
"García, Luis","472610","2024",70,53,59,61,75,64,63,53,45,44,33,83,39,91,,70,86,30,
"Kuhl, Chad","641771","2024",32,42,61,70,11,88,82,62,62,53,46,20,63,1,,32,54,24,
"Cantillo, Joey","676282","2024",,,,,,,,,34,,,,,,,,21,1,73
"Reid-Foley, Sean","656887","2024",,,,,,,,,67,,,,,,,,63,39,
"Cimber, Adam","643256","2024",,,,,,,,,47,,,,,,,,1,48,
"Mattson, Isaac","676755","2024",,,,,,,,,92,,,,,,,,50,77,
"Brito, Jhony","666745","2024",,,,,,,,,47,,,,,,,,84,23,
"Quijada, José","650671","2024",,,,,,,,,77,,,,,,,,47,45,
"Yarbrough, Ryan","642232","2024",36,39,53,61,23,45,79,97,29,99,6,50,13,33,,36,1,1,
"Finnegan, Kyle","640448","2024",29,18,25,36,28,64,65,1,8,2,43,35,29,31,,29,92,13,
"Bednar, David","670280","2024",33,65,31,14,34,50,19,16,49,42,43,17,67,81,,33,92,93,37
"Fairbanks, Pete","664126","2024",,,,,,,,,57,,,,,,,,93,73,
"Englert, Mason","669438","2024",,,,,,,,,73,,,,,,,,23,30,
"Booser, Cam","592155","2024",,,,,,,,,38,,,,,,,,70,13,
"Lazar, Max","676661","2024",,,,,,,,,67,,,,,,,,43,70,
"Zuñiga, Guillo","670871","2024",,,,,,,,,42,,,,,,,,88,63,
"Liberatore, Matthew","669461","2024",38,32,28,27,46,45,63,25,49,51,34,52,46,41,,38,65,22,89
"Bernardino, Brennan","657514","2024",53,55,57,57,24,83,65,74,51,62,65,25,19,4,,53,13,31,82
"Zulueta, Yosver","691172","2024",,,,,,,,,61,,,,,,,,84,32,
"Romero, JoJo","668941","2024",10,12,8,12,23,45,7,21,17,39,33,70,49,23,,10,52,25,
"Sabrowski, Erik","681870","2024",,,,,,,,,87,,,,,,,,28,98,64
"Kochanowicz, Jack","686799","2024",9,2,10,33,16,61,76,14,19,9,1,98,1,48,,9,78,10,
"Sulser, Cole","642121","2024",,,,,,,,,64,,,,,,,,21,72,
"Little, Brendon","663893","2024",,,,,,,,,45,,,,,,,,56,12,4
"Holmes, Clay","605280","2024",82,67,86,91,68,83,84,50,51,69,67,48,84,37,,82,88,36,
"Walker, Ryan","676254","2024",96,94,96,94,94,77,81,94,6,98,94,84,74,54,,96,76,58,
"Falter, Bailey","663559","2024",14,14,8,11,32,8,23,18,23,27,6,56,8,40,,14,18,6,1
"Ellard, Fraser","686642","2024",,,,,,,,,21,,,,,,,,63,96,
"Lawrence, Justin","664875","2024",1,1,9,40,1,54,49,19,10,18,5,8,26,6,,1,59,76,
"Sims, Lucas","608371","2024",33,74,52,27,18,64,14,99,57,95,49,1,52,65,,33,52,99,99
"Boyd, Matthew","571510","2024",,,,,,,,,51,,,,,,,,19,73,25
"Holmes, Grant","656550","2024",70,49,52,52,82,64,70,53,44,52,65,90,92,97,,70,59,66,87
"Webb, Logan","657277","2024",30,10,32,61,39,5,65,23,1,4,29,83,11,89,,30,28,3,
"Voth, Austin","608723","2024",77,82,65,49,84,64,47,98,9,99,63,62,89,79,,77,41,64,88
"Santana, Dennis","642701","2024",82,71,81,85,75,88,92,95,71,92,58,62,72,98,,82,73,94,
"Sauer, Matt","669422","2024",,,,,,,,,20,,,,,,,,65,21,50
"Herget, Kevin","643361","2024",,,,,,,,,87,,,,,,,,31,39,
"Pennington, Walter","679156","2024",,,,,,,,,7,,,,,,,,13,47,
"Akin, Keegan","669211","2024",98,98,92,72,99,54,49,65,19,61,92,80,82,16,,98,47,87,
"Hanifee, Brenan","669724","2024",,,,,,,,,56,,,,,,,,65,5,
"Rodón, Carlos","607074","2024",43,67,26,9,69,1,4,11,37,32,75,53,84,72,,43,71,82,72
"Muñoz, Andrés","662253","2024",91,98,94,78,82,77,28,95,74,87,95,13,99,91,,91,98,28,
"Strahm, Matt","621381","2024",98,96,92,77,99,83,63,39,26,60,96,95,59,85,,98,38,93,
"Moll, Sam","594580","2024",,,,,,,,,33,,,,,,,,30,93,
"Manoah, Alek","666201","2024",,,,,,,,,38,,,,,,,,38,69,
"Pinto, Ricardo","620982","2024",,,,,,,,,68,,,,,,,,26,4,
"Romano, Jordan","605447","2024",,,,,,,,,83,,,,,,,,86,50,
"Clase, Emmanuel","661403","2024",98,81,95,98,98,93,97,92,65,98,61,98,63,98,,98,,,
"Schreiber, John","670167","2024",77,63,93,98,45,96,96,42,29,65,29,35,17,16,,77,25,19,
"Walker, Josh","677020","2024",,,,,,,,,78,,,,,,,,41,39,6
"Wilson, Justin","458677","2024",42,45,16,8,69,50,4,56,39,27,61,78,46,95,,42,73,40,
"Coulombe, Danny","543056","2024",,,,,,,,,78,,,,,,,,8,82,77
"Salazar, Eduardo","674285","2024",,,,,,,,,39,,,,,,,,56,9,
"Estévez, Carlos","608032","2024",84,76,45,20,90,54,10,14,45,18,54,86,50,8,,84,89,21,
"Hernández, Elieser","622694","2024",,,,,,,,,81,,,,,,,,16,46,
"Rogers, Trevor","669432","2024",8,8,19,36,4,19,35,6,38,9,10,23,12,31,,8,16,86,
"Green, Chad","643338","2024",56,55,15,5,77,64,26,1,11,4,42,68,32,74,,56,73,92,
"Hentges, Sam","656529","2024",,,,,,,,,61,,,,,,,,65,38,40
"Assad, Javier","665871","2024",11,18,16,20,13,11,26,41,13,39,21,24,3,4,,11,13,2,38
"Brooks, Aaron","605156","2024",,,,,,,,,24,,,,,,,,19,2,
"Gonzales, Marco","594835","2024",,,,,,,,,38,,,,,,,,4,13,8
"Hancock, Emerson","676106","2024",2,2,2,6,3,40,12,58,42,4,2,64,20,37,,2,36,77,
"Jiménez, Dany","666204","2024",,,,,,,,,62,,,,,,,,26,32,
"Crawford, Kutter","676710","2024",56,71,31,11,81,1,12,62,4,70,51,68,48,88,,56,28,95,11
"Ureña, José","570632","2024",29,22,32,45,28,30,49,42,4,40,3,44,29,23,,29,80,25,
"Lee, Dylan","669276","2024",96,91,83,67,95,77,54,81,51,94,93,64,98,99,,96,25,51,
"Cecconi, Slade","677944","2024",25,28,10,8,62,31,9,42,46,70,19,92,8,10,,25,56,76,39
"Canning, Griffin","656288","2024",17,20,15,17,23,3,30,9,13,22,11,35,42,54,,17,38,19,28
"Gil, Luis","661563","2024",57,88,74,54,44,16,18,35,35,61,77,7,76,15,,57,88,90,
"Baz, Shane","669358","2024",64,77,62,48,71,50,59,9,70,21,38,41,42,6,,64,76,87,73
"Feyereisen, J.P.","656420","2024",,,,,,,,,23,,,,,,,,16,88,
"McGough, Scott","543518","2024",,,,,,,,,60,,,,,,,,34,76,
"Alzolay, Adbert","640470","2024",,,,,,,,,54,,,,,,,,56,52,
"Gilbert, Tyler","656457","2024",,,,,,,,,63,,,,,,,,16,22,
"Suarez, Robert","663158","2024",89,78,72,62,91,61,49,42,67,35,49,78,40,75,,89,99,87,
"Otañez, Michel","671305","2024",,,,,,,,,87,,,,,,,,96,83,
"Paxton, James","572020","2024",16,27,35,48,11,33,43,9,2,13,7,12,13,18,,16,35,13,2
"Paddack, Chris","663978","2024",13,10,6,7,44,29,12,11,9,13,30,87,39,67,,13,36,40,7
"Bickford, Phil","641360","2024",,,,,,,,,84,,,,,,,,36,37,
"Spence, Mitch","687765","2024",39,32,33,36,53,8,35,30,21,25,21,67,25,82,,39,18,1,85
"Jackson, Luke","592426","2024",43,64,61,57,33,64,26,39,67,38,67,14,81,75,,43,61,62,31
"Civale, Aaron","650644","2024",46,40,42,43,53,18,59,32,1,42,38,57,20,37,,46,26,59,97
"Wilson, Bryse","669060","2024",5,6,4,7,19,25,21,25,42,10,16,66,11,15,,5,35,15,33
"Núñez, Dedniel","673380","2024",,,,,,,,,26,,,,,,,,84,96,
"Lovelady, Richard","663992","2024",,,,,,,,,42,,,,,,,,23,45,
"Francis, Bowden","670102","2024",74,77,56,30,88,33,28,41,37,72,46,89,15,30,,74,30,75,23
"Shuster, Jared","694363","2024",20,13,27,49,15,47,59,81,39,94,10,21,33,16,,20,26,34,
"Springs, Jeffrey","605488","2024",,,,,,,,,85,,,,,,,,4,22,
"Thompson, Keegan","624522","2024",,,,,,,,,1,,,,,,,,40,95,76
"Rea, Colin","607067","2024",13,10,9,15,31,3,28,11,17,21,19,81,7,9,,13,28,28,7
"Nance, Tommy","667297","2024",,,,,,,,,78,,,,,,,,56,78,90
"Bieber, Shane","669456","2024",,,,,,,,,47,,,,,,,,19,64,
"McGreevy, Michael","700241","2024",,,,,,,,,78,,,,,,,,21,30,
"Dana, Caden","702674","2024",,,,,,,,,68,,,,,,,,43,28,
"Hamilton, Ian","641656","2024",,,,,,,,,22,,,,,,,,82,34,
"Merryweather, Julian","657240","2024",,,,,,,,,54,,,,,,,,80,47,
"Williamson, Brandon","682227","2024",,,,,,,,,85,,,,,,,,28,23,
"García, Deivi","665620","2024",,,,,,,,,68,,,,,,,,67,52,
"Mears, Nick","683232","2024",84,81,75,65,79,77,65,71,65,88,88,29,74,69,,84,88,68,52
"Stewart, Brock","592779","2024",,,,,,,,,37,,,,,,,,90,96,
"Rosenberg, Kenny","670046","2024",,,,,,,,,20,,,,,,,,6,35,
"Manning, Matt","666159","2024",,,,,,,,,18,,,,,,,,45,45,
"Hurter, Brant","676428","2024",,,,,,,,,38,,,,,,,,25,25,
"Suárez, Albert","544150","2024",43,42,33,25,57,27,63,50,13,52,19,56,42,44,,43,62,83,24
"Bellozo, Valente","678368","2024",9,33,2,1,50,33,4,19,21,21,2,64,7,3,,9,3,14,77
"Gray, Sonny","543243","2024",64,51,48,41,81,13,24,27,23,57,91,84,82,72,,64,26,92,67
"Pallante, Andre","669467","2024",72,58,87,96,48,72,98,84,35,54,14,29,8,11,,72,59,39,86
"Stripling, Ross","548389","2024",14,1,14,52,18,38,69,65,44,78,1,84,2,54,,14,11,17,44
"Peterson, David","656849","2024",22,18,43,64,15,31,59,35,15,16,24,34,50,51,,22,26,26,25
"Gillispie, Connor","687362","2024",,,,,,,,,91,,,,,,,,21,62,
"Miller, Bobby","676272","2024",1,1,1,2,1,40,3,1,8,2,27,10,35,7,,1,94,60,68
"Garabito, Gerson","642520","2024",,,,,,,,,37,,,,,,,,34,80,63
"Crochet, Garrett","676979","2024",91,90,79,62,96,21,21,65,47,49,98,87,93,93,,91,92,94,
"Maeda, Kenta","628317","2024",30,25,24,27,45,27,39,62,41,73,24,75,38,75,,30,9,60,
"Burke, Brock","656271","2024",,,,,,,,,78,,,,,,,,76,41,
"Eflin, Zach","621107","2024",60,32,35,38,86,11,54,71,10,73,23,98,17,88,,60,18,20,46
"Miller, Bryce","682243","2024",62,65,36,19,84,2,14,14,56,28,60,75,41,29,,62,65,92,22
"Lodolo, Nick","666157","2024",62,70,75,74,48,31,39,39,17,55,64,57,70,67,,62,51,73,65
"Hicks, Jordan","663855","2024",17,29,28,31,13,23,18,27,35,20,26,24,42,13,,17,59,2,
"Means, John","607644","2024",,,,,,,,,58,,,,,,,,8,81,
"Garcia, Robert","676395","2024",97,88,97,98,94,98,98,78,47,98,90,75,79,94,,97,56,43,
"Martin, Chris","455119","2024",,,,,,,,,35,,,,,,,,59,28,
"Long, Sam","669674","2024",,,,,,,,,54,,,,,,,,54,74,59
"Anderson, Nick","623433","2024",,,,,,,,,37,,,,,,,,62,24,3
"Ort, Kaleb","672391","2024",,,,,,,,,38,,,,,,,,94,90,
"Hudson, Dakota","641712","2024",1,2,12,37,1,42,76,21,5,21,1,6,4,1,,1,6,12,58
"Smith, Burch","572143","2024",27,13,19,27,48,47,18,6,47,7,19,92,11,28,,27,63,59,32
"Miller, Erik","669062","2024",87,95,95,90,61,77,65,30,31,29,92,2,85,10,,87,90,56,
"Hernández, Jonathan","642546","2024",,,,,,,,,15,,,,,,,,89,48,
"Bradish, Kyle","680694","2024",,,,,,,,,79,,,,,,,,67,49,65
"Stone, Gavin","694813","2024",50,27,43,58,60,30,75,68,13,72,26,75,44,77,,50,67,31,21
"Olson, Reese","681857","2024",66,35,72,87,55,45,85,16,53,12,39,64,75,87,,66,52,31,53
"Beck, Tristan","663941","2024",,,,,,,,,65,,,,,,,,34,13,
"Cannon, Jonathan","686563","2024",27,22,27,38,34,29,59,42,41,70,10,53,19,49,,27,41,20,
"Blackburn, Paul","621112","2024",22,14,21,30,33,42,39,79,53,75,17,70,34,38,,22,16,19,54
"Thompson, Zack","668868","2024",,,,,,,,,11,,,,,,,,9,1,70
"Brewer, Colten","605155","2024",,,,,,,,,29,,,,,,,,54,43,88
"Bazardo, Eduard","660825","2024",,,,,,,,,74,,,,,,,,54,19,
"Casparius, Ben","676508","2024",,,,,,,,,88,,,,,,,,73,85,
"Martin, Davis","663436","2024",43,67,64,58,31,77,52,75,39,57,36,19,62,58,,43,41,83,66
"Honeywell, Brent","641703","2024",,,,,,,,,68,,,,,,,,61,29,
"Henriquez, Ronny","678692","2024",,,,,,,,,81,,,,,,,,76,90,
"Beede, Tyler","595881","2024",,,,,,,,,63,,,,,,,,35,1,6
"Montgomery, Jordan","656756","2024",7,3,13,41,5,34,81,56,35,30,4,45,61,91,,7,18,35,20
"Mahle, Tyler","641816","2024",,,,,,,,,64,,,,,,,,13,68,
"Robertson, David","502085","2024",87,84,88,87,65,88,85,53,44,58,96,29,79,15,,87,,,78
"Walker, Taijuan","592836","2024",1,1,1,1,1,13,1,1,10,3,3,25,1,13,,1,12,4,35
"Castillo, Luis","622491","2024",49,39,31,25,65,6,32,25,34,22,60,73,53,76,,49,76,18,
"Winans, Allan","642216","2024",,,,,,,,,85,,,,,,,,4,45,
"Elder, Bryce","693821","2024",12,4,19,50,12,61,28,21,66,6,28,57,50,62,,12,8,8,
"Castillo, Diego","650895","2024",,,,,,,,,58,,,,,,,,73,10,
"Skubal, Tarik","669373","2024",95,88,89,83,97,21,70,81,27,84,91,95,90,77,,95,89,33,22
"Ober, Bailey","641927","2024",82,85,60,30,92,11,37,81,20,83,78,80,76,93,,82,16,64,
"Winder, Josh","680739","2024",,,,,,,,,87,,,,,,,,69,11,
"Kolek, Stephen","663568","2024",22,5,35,77,21,96,96,71,23,30,14,86,13,41,,22,71,42,
"Kelly, Joe","523260","2024",,,,,,,,,56,,,,,,,,98,28,95
"Stanek, Ryne","592773","2024",73,89,70,45,68,61,16,16,64,24,82,20,94,85,,73,96,70,
"Gibson, Kyle","502043","2024",14,18,22,29,17,3,21,68,31,47,33,29,53,22,,14,10,15,28
"Rogers, Tyler","643511","2024",88,49,81,92,87,83,93,99,32,95,11,100,4,40,,88,1,3,
"Stroman, Marcus","573186","2024",12,11,22,38,11,20,70,35,4,36,7,35,10,24,,12,5,50,48
"Matsui, Yuki","673513","2024",90,90,86,79,79,77,69,58,34,62,77,19,90,89,,90,21,90,
"Rogers, Josh","642028","2024",,,,,,,,,26,,,,,,,,3,32,
"Ginn, J.T.","669372","2024",,,,,,,,,71,,,,,,,,31,5,
"Jacob, Alek","689690","2024",,,,,,,,,73,,,,,,,,1,69,
"Hernández, Carlos","672578","2024",,,,,,,,,42,,,,,,,,97,86,35
"Bielak, Brandon","656232","2024",,,,,,,,,55,,,,,,,,19,72,
"Pérez, Martín","527048","2024",4,7,5,7,11,15,30,42,3,26,13,45,13,44,,4,10,4,40
"Bivens, Spencer","702352","2024",,,,,,,,,67,,,,,,,,54,1,
"Nicolas, Kyle","693312","2024",30,53,72,79,5,64,32,19,34,35,46,2,72,14,,30,94,81,49
"Hartlieb, Geoff","664129","2024",,,,,,,,,92,,,,,,,,87,88,
"Smith, Drew","622098","2024",,,,,,,,,73,,,,,,,,61,97,
"Allard, Kolby","663465","2024",,,,,,,,,46,,,,,,,,6,8,1
"Lugo, Seth","607625","2024",57,43,48,51,72,2,43,58,11,47,39,86,25,41,,57,21,83,100
"Poche, Colin","621363","2024",,,,,,,,,51,,,,,,,,11,43,
"Herrin, Tim","682120","2024",81,87,89,85,65,77,68,89,46,69,75,25,78,78,,81,65,73,30
"Miller, Ryan","668943","2024",,,,,,,,,71,,,,,,,,41,26,
"Blanco, Ronel","669854","2024",52,67,50,31,55,8,19,53,2,76,63,22,76,68,,52,38,44,16
"Weems, Jordan","607179","2024",,,,,,,,,35,,,,,,,,80,16,
"Sánchez, Cristopher","650911","2024",66,22,68,89,64,25,86,84,1,82,28,84,40,98,,66,56,18,
"Weissert, Greg","669711","2024",71,35,66,83,60,77,81,47,51,35,43,56,10,70,,71,45,30,
"López, Reynaldo","625643","2024",53,47,47,49,61,23,26,23,8,20,80,53,66,70,,53,73,12,34
"Ramirez, Nick","598286","2024",,,,,,,,,60,,,,,,,,1,9,
"Kirby, George","669923","2024",76,55,47,36,93,3,41,42,19,70,50,99,39,84,,76,80,44,42
"Soriano, José","667755","2024",39,43,64,72,23,38,73,21,39,10,32,27,35,56,,39,97,3,40
"Rodríguez, Yerry","666720","2024",,,,,,,,,68,,,,,,,,84,90,
"Germán, Domingo","593334","2024",,,,,,,,,44,,,,,,,,9,98,75
"Muñoz, Roddery","682610","2024",1,6,1,1,2,16,1,5,25,6,14,14,34,18,,1,69,51,
"Detmers, Reid","672282","2024",46,65,42,23,53,31,6,21,31,44,83,25,77,60,,46,45,22,43
"Morton, Charlie","450203","2024",24,40,36,31,19,6,19,53,15,52,56,31,54,44,,24,50,41,96
"Myers, Tobias","668964","2024",42,32,31,31,57,21,43,23,7,50,44,77,15,49,,42,31,43,26
"Lynn, Lance","458681","2024",13,20,10,10,28,15,7,47,14,44,36,40,39,20,,13,19,89,50
"Díaz, Yilber","700270","2024",,,,,,,,,61,,,,,,,,80,52,19
"Hader, Josh","623352","2024",94,99,85,43,97,54,9,25,53,49,99,34,100,92,,94,82,54,
"Doval, Camilo","666808","2024",77,97,92,76,46,64,30,30,1,15,87,1,95,47,,77,95,74,
"Muller, Kyle","666205","2024",,,,,,,,,6,,,,,,,,28,80,12
"Wacha, Michael","608379","2024",47,31,36,43,57,8,39,89,3,92,34,70,32,40,,47,41,14,16
"Scott, Christian","681035","2024",,,,,,,,,47,,,,,,,,52,47,
"Abreu, Bryan","650556","2024",82,92,86,70,73,50,28,11,49,55,93,24,95,38,,82,88,76,
"Garrett, Braxton","666129","2024",,,,,,,,,47,,,,,,,,6,18,
"Ramirez, Emmanuel","642629","2024",,,,,,,,,66,,,,,,,,47,62,
"Arrighetti, Spencer","681293","2024",47,64,55,43,40,25,49,47,1,39,79,21,68,28,,47,51,65,85
"Sandlin, Nick","680704","2024",25,72,28,9,24,50,4,1,23,15,81,15,95,51,,25,28,68,
"Ryan, Joe","657746","2024",91,86,73,54,98,23,32,65,5,68,80,96,58,66,,91,47,48,
"Holman, Grant","680880","2024",,,,,,,,,76,,,,,,,,56,1,
"Meyer, Max","676974","2024",20,43,10,3,51,33,1,7,19,2,14,53,38,20,,20,50,83,
"Okert, Steven","595345","2024",,,,,,,,,47,,,,,,,,31,41,
"Peralta, Luis","678821","2024",,,,,,,,,88,,,,,,,,65,37,
"Joyce, Ben","690829","2024",,,,,,,,,51,,,,,,,,99,8,
"De Los Santos, Enyel","660853","2024",6,35,3,2,27,35,2,35,57,18,55,34,78,23,,6,73,38,
"Toussaint, Touki","657053","2024",,,,,,,,,31,,,,,,,,13,36,42
"Berríos, José","621244","2024",19,15,15,21,28,5,47,27,15,24,22,67,13,58,,19,41,14,
"Minter, A.J.","621345","2024",,,,,,,,,57,,,,,,,,56,88,
"García, Yimi","554340","2024",,,,,,,,,41,,,,,,,,84,96,87
"Irvin, Jake","663623","2024",36,31,20,16,55,1,21,50,8,47,28,67,23,27,,36,43,75,51
"Keuchel, Dallas","572971","2024",,,,,,,,,70,,,,,,,,1,9,
"Severino, Luis","622663","2024",56,45,62,68,46,25,82,88,13,75,34,51,21,60,,56,79,30,
"Adams, Austin","613534","2024",,,,,,,,,78,,,,,,,,38,100,
"McArthur, James","663704","2024",29,11,22,40,39,54,37,16,51,36,25,90,72,64,,29,65,66,83
"King, Bryan","687911","2024",,,,,,,,,69,,,,,,,,19,37,
"Duran, Jhoan","661395","2024",92,86,98,99,82,98,98,88,64,72,88,70,93,44,,92,100,8,56
"Kelly, Kevin","687330","2024",77,43,66,79,84,83,89,89,12,67,48,99,9,20,,77,10,30,
"Soroka, Michael","647336","2024",23,53,43,33,13,38,14,79,9,78,60,4,44,11,,23,33,89,
"Chapman, Aroldis","547973","2024",90,99,98,86,71,88,63,9,39,27,99,1,91,23,,90,98,79,
"Mlodzinski, Carmen","669387","2024",77,65,84,90,57,99,99,35,35,78,42,33,54,35,,77,83,61,
"Senzatela, Antonio","622608","2024",,,,,,,,,49,,,,,,,,61,34,
"Snider, Collin","676092","2024",,,,,,,,,80,,,,,,,,52,98,
"Rutledge, Jackson","671131","2024",,,,,,,,,92,,,,,,,,71,69,
"Ortiz, Luis","682847","2024",33,47,23,15,48,18,26,42,29,59,20,56,13,9,,33,71,58,
"Rogers, Taylor","573124","2024",85,81,85,85,74,83,79,91,51,90,71,38,32,1,,85,33,15,
"Castro, Miguel","612434","2024",,,,,,,,,56,,,,,,,,59,34,
"Funderburk, Kody","681892","2024",,,,,,,,,34,,,,,,,,36,57,
"Hughes, Brandon","676714","2024",,,,,,,,,44,,,,,,,,26,66,
"Davis, Austin","656354","2024",,,,,,,,,74,,,,,,,,23,66,
"Jay, Tyler","664079","2024",,,,,,,,,55,,,,,,,,33,1,
"Schmidt, Clarke","657376","2024",57,67,76,77,44,64,81,41,35,55,74,41,79,31,,57,54,96,96
"Kerr, Ray","678061","2024",,,,,,,,,53,,,,,,,,69,68,2
"Knack, Landon","689017","2024",49,67,16,4,83,40,9,7,49,11,59,77,29,16,,49,40,91,92
"Kittredge, Andrew","552640","2024",49,33,29,27,64,47,32,47,51,42,53,66,69,100,,49,56,74,
"Paredes, Enoli","660600","2024",,,,,,,,,76,,,,,,,,45,87,
"Ray, Robbie","592662","2024",,,,,,,,,83,,,,,,,,51,68,9
"Moore, Matt","519043","2024",33,80,29,7,33,64,21,50,26,76,22,6,59,36,,33,30,50,13
"Singer, Brady","663903","2024",19,13,22,35,24,6,43,47,13,25,44,64,46,20,,19,20,62,
"Woodford, Jake","663765","2024",,,,,,,,,35,,,,,,,,13,32,
"Chivilli, Angel","683409","2024",,,,,,,,,53,,,,,,,,82,53,
"Hodge, Porter","687863","2024",,,,,,,,,67,,,,,,,,73,86,
